text,label,sentiment,urgency,resolution_status
"I received a wrong item, can I exchange it?",account_issue,positive,low,resolved
Do you offer discounts for students?,wrong_item,positive,medium,resolved
How do I return an item I purchased?,order_issue,neutral,low,pending
I want to cancel my subscription.,wrong_item,negative,low,pending
How do I change my delivery address?,order_issue,negative,low,resolved
Can I speak to a human agent?,account_issue,positive,low,unresolved
Do you offer discounts for students?,technical_support,positive,low,unresolved
"I received a wrong item, can I exchange it?",wrong_item,positive,low,unresolved
My order has not arrived yet.,delivery,neutral,low,pending
My login credentials are not working.,order_status,positive,medium,pending
"My mobile app keeps crashing, can you fix it?",account_issue,negative,high,resolved
The internet connection is too slow.,order_issue,neutral,medium,resolved
"My payment failed, what should I do?",order_status,negative,medium,resolved
I need help updating my account details.,tracking,negative,low,resolved
How do I reset my password?,payment_issue,positive,high,unresolved
Can I upgrade my current subscription plan?,returns,negative,low,pending
"My payment failed, what should I do?",order_status,positive,high,resolved
My order has not arrived yet.,human_agent,neutral,high,unresolved
How do I return an item I purchased?,account_update,positive,high,resolved
I was charged incorrectly on my bill.,order_issue,neutral,high,resolved
How do I change my delivery address?,delivery,positive,low,pending
Can I speak to a human agent?,login_issue,positive,high,unresolved
Do you offer discounts for students?,refund,positive,high,pending
Can I get a refund for my last purchase?,order_status,positive,high,resolved
The customer service number is not working.,account_issue,negative,high,pending
Why is my order status still pending?,upgrade,negative,medium,unresolved
The customer service number is not working.,delivery,negative,high,resolved
I need help updating my account details.,billing,neutral,low,resolved
Can I speak to a human agent?,payment_issue,negative,high,resolved
My login credentials are not working.,billing,negative,high,pending
I was charged incorrectly on my bill.,payment_issue,neutral,high,unresolved
I need help updating my account details.,order_status,positive,low,pending
"I received a wrong item, can I exchange it?",app_crash,neutral,medium,pending
I want to cancel my subscription.,refund,negative,low,unresolved
Why is my order status still pending?,upgrade,neutral,medium,pending
The internet connection is too slow.,service_issue,positive,high,pending
I need help updating my account details.,wrong_item,neutral,medium,unresolved
Do you offer discounts for students?,payment_issue,negative,high,pending
The internet connection is too slow.,order_status,positive,medium,resolved
The internet connection is too slow.,billing,negative,high,pending
Do you offer discounts for students?,service_issue,neutral,low,unresolved
Can I speak to a human agent?,refund,neutral,low,pending
"My mobile app keeps crashing, can you fix it?",discount,positive,high,pending
How do I change my delivery address?,account_issue,neutral,low,resolved
Can I get a refund for my last purchase?,delivery,neutral,medium,unresolved
"My mobile app keeps crashing, can you fix it?",returns,negative,low,pending
The customer service number is not working.,human_agent,positive,medium,unresolved
"My payment failed, what should I do?",account_issue,negative,high,unresolved
Can I speak to a human agent?,technical_support,positive,medium,pending
Can I get a refund for my last purchase?,order_status,positive,medium,pending
The internet connection is too slow.,refund,negative,medium,resolved
How do I return an item I purchased?,billing,negative,low,pending
Can I speak to a human agent?,app_crash,neutral,medium,pending
Can I upgrade my current subscription plan?,discount,negative,medium,resolved
The internet connection is too slow.,account_update,negative,high,resolved
Can I upgrade my current subscription plan?,billing,neutral,low,unresolved
I want to cancel my subscription.,upgrade,negative,medium,resolved
How do I return an item I purchased?,human_agent,neutral,high,resolved
How do I return an item I purchased?,payment_issue,positive,medium,unresolved
I need help updating my account details.,payment_issue,positive,low,pending
"My mobile app keeps crashing, can you fix it?",login_issue,neutral,medium,unresolved
"My credit card was declined, what now?",login_issue,neutral,medium,pending
The customer service number is not working.,tracking,negative,low,resolved
Why is my order status still pending?,payment_issue,positive,medium,unresolved
I was charged incorrectly on my bill.,account_issue,negative,high,pending
"I received a wrong item, can I exchange it?",wrong_item,negative,medium,resolved
"I received a wrong item, can I exchange it?",card_declined,neutral,medium,unresolved
The internet connection is too slow.,technical_support,negative,high,unresolved
"My payment failed, what should I do?",wrong_item,neutral,low,unresolved
I was charged incorrectly on my bill.,delivery,positive,high,resolved
Why is my order status still pending?,tracking,positive,high,pending
How do I reset my password?,account_update,negative,low,unresolved
Do you offer discounts for students?,refund,positive,medium,unresolved
The internet connection is too slow.,returns,neutral,medium,pending
I want to cancel my subscription.,human_agent,neutral,medium,pending
"My credit card was declined, what now?",billing,negative,high,unresolved
The internet connection is too slow.,technical_support,negative,low,pending
I need help updating my account details.,subscription,positive,low,unresolved
The customer service number is not working.,service_issue,positive,medium,unresolved
My login credentials are not working.,technical_support,negative,low,unresolved
The internet connection is too slow.,subscription,negative,medium,unresolved
Why is my order status still pending?,subscription,negative,low,pending
"My mobile app keeps crashing, can you fix it?",order_issue,neutral,medium,resolved
"My mobile app keeps crashing, can you fix it?",wrong_item,positive,high,resolved
I am unable to track my package.,login_issue,negative,low,resolved
"My payment failed, what should I do?",subscription,neutral,low,resolved
The customer service number is not working.,service_issue,positive,medium,unresolved
The customer service number is not working.,tracking,negative,low,unresolved
"My payment failed, what should I do?",account_update,neutral,medium,resolved
The customer service number is not working.,order_status,negative,high,pending
"I received a wrong item, can I exchange it?",subscription,negative,high,unresolved
"My credit card was declined, what now?",refund,neutral,low,unresolved
I need help updating my account details.,account_issue,neutral,low,unresolved
The customer service number is not working.,account_issue,positive,medium,unresolved
Can I get a refund for my last purchase?,upgrade,positive,high,resolved
"I received a wrong item, can I exchange it?",card_declined,negative,medium,unresolved
"My payment failed, what should I do?",returns,neutral,medium,unresolved
Can I get a refund for my last purchase?,card_declined,negative,medium,resolved
I was charged incorrectly on my bill.,login_issue,neutral,high,resolved
I was charged incorrectly on my bill.,technical_support,negative,low,resolved
The internet connection is too slow.,wrong_item,negative,medium,resolved
Why is my order status still pending?,service_issue,positive,medium,pending
Do you offer discounts for students?,app_crash,neutral,high,unresolved
My order has not arrived yet.,login_issue,positive,high,pending
How do I change my delivery address?,returns,positive,medium,pending
How do I reset my password?,service_issue,positive,low,pending
My login credentials are not working.,tracking,neutral,high,unresolved
I was charged incorrectly on my bill.,wrong_item,neutral,low,resolved
"My payment failed, what should I do?",returns,negative,high,resolved
I am unable to track my package.,service_issue,negative,low,unresolved
Why is my order status still pending?,refund,neutral,low,resolved
I need help updating my account details.,card_declined,neutral,high,resolved
I want to cancel my subscription.,order_issue,neutral,medium,unresolved
My login credentials are not working.,payment_issue,neutral,low,unresolved
I want to cancel my subscription.,wrong_item,neutral,medium,pending
"I received a wrong item, can I exchange it?",payment_issue,positive,medium,pending
My login credentials are not working.,delivery,negative,low,unresolved
"My payment failed, what should I do?",service_issue,positive,medium,unresolved
Can I upgrade my current subscription plan?,returns,negative,high,unresolved
Can I get a refund for my last purchase?,subscription,neutral,medium,resolved
I want to cancel my subscription.,account_issue,positive,medium,resolved
"I received a wrong item, can I exchange it?",order_issue,neutral,medium,resolved
Can I get a refund for my last purchase?,login_issue,neutral,medium,pending
"I received a wrong item, can I exchange it?",human_agent,negative,low,pending
Can I speak to a human agent?,account_update,neutral,medium,unresolved
I am unable to track my package.,card_declined,neutral,high,pending
"My credit card was declined, what now?",upgrade,negative,low,pending
I want to cancel my subscription.,account_issue,positive,low,unresolved
Can I upgrade my current subscription plan?,billing,negative,low,resolved
Can I speak to a human agent?,upgrade,negative,medium,pending
I want to cancel my subscription.,service_issue,neutral,low,resolved
The customer service number is not working.,order_status,negative,low,resolved
"My credit card was declined, what now?",billing,positive,high,unresolved
How do I return an item I purchased?,payment_issue,negative,medium,pending
The customer service number is not working.,account_update,negative,high,unresolved
I am unable to track my package.,billing,neutral,high,resolved
My order has not arrived yet.,billing,positive,low,unresolved
I need help updating my account details.,billing,neutral,high,unresolved
My login credentials are not working.,billing,positive,medium,unresolved
"My credit card was declined, what now?",wrong_item,negative,low,pending
"My credit card was declined, what now?",payment_issue,positive,low,resolved
I was charged incorrectly on my bill.,app_crash,negative,medium,pending
Can I speak to a human agent?,account_issue,positive,high,resolved
I am unable to track my package.,app_crash,positive,medium,pending
Can I speak to a human agent?,login_issue,positive,high,unresolved
Can I upgrade my current subscription plan?,technical_support,positive,low,resolved
My order has not arrived yet.,returns,neutral,high,unresolved
My login credentials are not working.,order_status,neutral,high,resolved
"My mobile app keeps crashing, can you fix it?",delivery,positive,medium,pending
I want to cancel my subscription.,account_issue,positive,low,unresolved
"My payment failed, what should I do?",human_agent,neutral,high,resolved
How do I change my delivery address?,discount,negative,high,resolved
The customer service number is not working.,billing,neutral,medium,unresolved
I was charged incorrectly on my bill.,service_issue,neutral,high,pending
My login credentials are not working.,subscription,negative,medium,unresolved
Can I speak to a human agent?,tracking,positive,medium,resolved
The customer service number is not working.,subscription,positive,low,pending
The customer service number is not working.,technical_support,positive,low,unresolved
"My credit card was declined, what now?",discount,positive,low,resolved
I am unable to track my package.,delivery,positive,high,resolved
I need help updating my account details.,wrong_item,neutral,low,resolved
How do I reset my password?,human_agent,positive,medium,pending
Can I speak to a human agent?,tracking,neutral,medium,resolved
"My credit card was declined, what now?",billing,negative,low,pending
Can I upgrade my current subscription plan?,service_issue,positive,low,unresolved
I am unable to track my package.,technical_support,negative,medium,resolved
I want to cancel my subscription.,refund,negative,medium,pending
I was charged incorrectly on my bill.,service_issue,positive,high,unresolved
Do you offer discounts for students?,tracking,negative,medium,resolved
"My credit card was declined, what now?",delivery,positive,high,pending
My order has not arrived yet.,upgrade,negative,medium,pending
"My payment failed, what should I do?",card_declined,neutral,low,pending
I need help updating my account details.,refund,positive,high,unresolved
Can I speak to a human agent?,delivery,positive,medium,pending
The customer service number is not working.,subscription,negative,low,resolved
Why is my order status still pending?,tracking,negative,medium,resolved
Why is my order status still pending?,login_issue,positive,medium,resolved
Can I upgrade my current subscription plan?,refund,positive,low,pending
"I received a wrong item, can I exchange it?",refund,positive,medium,unresolved
Why is my order status still pending?,account_issue,negative,high,pending
How do I change my delivery address?,technical_support,negative,medium,unresolved
How do I return an item I purchased?,service_issue,neutral,high,resolved
Can I upgrade my current subscription plan?,tracking,negative,medium,unresolved
The internet connection is too slow.,human_agent,positive,high,resolved
I want to cancel my subscription.,billing,negative,high,pending
My order has not arrived yet.,account_issue,neutral,high,unresolved
Can I upgrade my current subscription plan?,delivery,negative,medium,unresolved
I was charged incorrectly on my bill.,upgrade,positive,low,pending
I want to cancel my subscription.,discount,positive,medium,resolved
I was charged incorrectly on my bill.,account_update,negative,low,pending
Can I get a refund for my last purchase?,technical_support,positive,high,resolved
How do I change my delivery address?,account_issue,neutral,medium,pending
Why is my order status still pending?,wrong_item,negative,low,resolved
How do I change my delivery address?,upgrade,positive,low,pending
"My mobile app keeps crashing, can you fix it?",upgrade,positive,low,resolved
Can I get a refund for my last purchase?,returns,neutral,high,pending
How do I reset my password?,tracking,neutral,medium,pending
The customer service number is not working.,refund,neutral,high,pending
My login credentials are not working.,app_crash,positive,medium,pending
I am unable to track my package.,app_crash,neutral,medium,pending
I want to cancel my subscription.,technical_support,negative,medium,resolved
"I received a wrong item, can I exchange it?",human_agent,positive,high,pending
"My credit card was declined, what now?",wrong_item,neutral,medium,unresolved
My order has not arrived yet.,payment_issue,negative,low,resolved
"I received a wrong item, can I exchange it?",account_issue,positive,medium,unresolved
Can I speak to a human agent?,discount,neutral,high,unresolved
Why is my order status still pending?,tracking,negative,medium,unresolved
Can I speak to a human agent?,tracking,neutral,high,pending
How do I change my delivery address?,discount,neutral,medium,pending
The customer service number is not working.,technical_support,positive,high,unresolved
"I received a wrong item, can I exchange it?",app_crash,neutral,low,resolved
My order has not arrived yet.,payment_issue,negative,low,pending
Can I get a refund for my last purchase?,delivery,positive,medium,pending
Can I upgrade my current subscription plan?,order_status,positive,medium,resolved
I was charged incorrectly on my bill.,order_issue,negative,high,pending
Can I upgrade my current subscription plan?,discount,negative,low,resolved
I was charged incorrectly on my bill.,login_issue,neutral,high,unresolved
"My credit card was declined, what now?",returns,neutral,medium,pending
"My credit card was declined, what now?",subscription,negative,high,unresolved
The internet connection is too slow.,tracking,neutral,high,pending
"My credit card was declined, what now?",refund,negative,high,resolved
I was charged incorrectly on my bill.,returns,neutral,low,unresolved
Can I get a refund for my last purchase?,human_agent,negative,low,resolved
"My payment failed, what should I do?",delivery,negative,high,unresolved
My login credentials are not working.,subscription,negative,high,resolved
"I received a wrong item, can I exchange it?",payment_issue,positive,medium,unresolved
The internet connection is too slow.,order_status,negative,low,unresolved
Why is my order status still pending?,order_issue,neutral,low,unresolved
"My credit card was declined, what now?",tracking,negative,high,resolved
I am unable to track my package.,wrong_item,positive,medium,resolved
The customer service number is not working.,login_issue,neutral,medium,unresolved
Can I get a refund for my last purchase?,returns,negative,low,resolved
Can I speak to a human agent?,technical_support,negative,low,unresolved
"My payment failed, what should I do?",order_status,positive,high,resolved
The internet connection is too slow.,payment_issue,negative,low,pending
Why is my order status still pending?,app_crash,negative,low,pending
How do I change my delivery address?,payment_issue,negative,high,unresolved
"I received a wrong item, can I exchange it?",human_agent,negative,medium,resolved
I am unable to track my package.,subscription,positive,low,resolved
